school_name,school_address,latitude
Manasquan High School,"167 Broad Street Manasquan, NJ 08736","(40.1288999166667, -74.04771225)"
North Salem Middle/High School,"230 June Rd North Salem, NY 10560","(41.3578664248674, -73.5938759887286)"
Academy of American Studies,"28-04 41st Ave Long Island City, NY 11101","(40.7512454, -73.9374696)"
Mahopac High School,"421 Baldwin Pl Rd Mahopac, NY 10541","(41.3690272857143, -73.7538716428571)"
Valley Stream North High School,"750 Herman Ave Franklin Square, NY 11010","(40.687008, -73.673478)"
Brooklyn College Academy,"350 Coney Island Ave Brooklyn, NY 11218","(40.6491768, -73.9719960193251)"
North Rockland High School,"106 Hammond Rd Thiells, NY 10984","(41.2146063274535, -74.0164150323487)"
Longwood High School,"100 Longwood Rd Middle Island, NY 11953","(40.865821, -72.928527)"
West Islip Senior High School,"1 Lion's Path West Islip, NY 11795","(40.70158705, -73.3018913287571)"
Shoreham-Wading River High School,"250a Rt 25a Shoreham, NY 11786","(40.9437976925399, -72.8542199341755)"
Valhalla High School,"300 Columbus Ave Valhalla, NY 10595","(41.0862822, -73.7773607)"
Thomas A. Edison Career & Technical High School,"165-65 84th Ave, NY 11432","(40.71630525, -73.7985327320851)"
Ridgefield Memorial High School,"555 Walnut St Ridgefield, NJ 07657","(40.8311270738191, -74.0002976630921)"
Island Trees High School,"59 Straight Ln Levittown, NY 11756","(40.72266825, -73.4932509353811)"
West Babylon Senior High School,"500 Great E Neck Rd West Babylon, NY 11704","(40.703272, -73.343518)"
Waldwick High School,"155 Wyckoff Avenue Waldwick, NJ 07463","(41.01176295, -74.132825933082)"
Manalapan High School,Manalapan High School,"(40.2889879, -74.3360083)"
Bronx Center for Science & Mathematics,"1363 Fulton Ave Bronx, NY 10456","(40.8339229, -73.9028754)"
KIPP Academy Charter School,KIPP Academy Charter School,"(40.8224572, -73.9213117)"
Sachem High School East,"177 Granny Rd Farmingville, NY 11738","(40.839019375, -73.011431125)"
Sachem High School North,"212 Smith Rd Lake Ronkonkoma, NY 11779","(40.8388830008629, -73.1060126299014)"
Technology High School,"223 Broadway Newark, NJ 07102","(40.7593277213184, -74.1690997289808)"
Democracy Prep Harlem Middle School,"207 W 133rd St New York, NY 10030","(40.8143281, -73.945101)"
Henry Hudson Regional School,"1 Grand Tour Highlands, NJ 07732","(40.391628, -73.987954)"
Mineola High School,"10 Armstrong Rd Garden City Park, NY 11040","(40.743338, -73.65796)"
High School of Telecommunications Arts & Technology,"350 67th St Brooklyn, NY 11220","(40.6367173, -74.0232522420016)"
Babylon Junior/Senior High School,"50 Railroad Ave Babylon, NY 11702","(40.699092, -73.327862)"
Point Pleasant Borough High School,"Laura Herbert Dr Point Pleasant, NJ 08742","(40.07912, -74.071856)"
Tottenville High School,"100 Luten Ave Staten Island, NY 10312","(40.5279325, -74.1922317)"
Emerson Junior/Senior High School,"131 Main Street Emerson, NJ 07630","(40.9740394782609, -74.0159733043478)"
North Brunswick Township High School,"98 Raider Road North Brunswick, NJ 08902","(40.453041, -74.4686392)"
Wall High School,"1630 18th Ave Wall, NJ 07719","(40.1676339048375, -74.0577740048544)"
Queens Metropolitan High School,"91-30 Metropolitan ave Forest Hills, NY 11375","(None, None)"
Roxbury High School,"One Bryant Drive Succasunna, NJ 07876","(40.8629171, -74.6404563)"
East Islip High School,"1 Redmen St Islip Terrace, NY 11752","(40.7499223, -73.1830212)"
Aerospace/Hydrospace Engineering & Physical Sciences at the Fairchild Wheeler Campus,"840 Old Town Road Bridgeport, CT 06606","(41.2258894, -73.1875680278833)"
Spotswood High School,"105 Summerhill Road Spotswood, NJ 08884","(40.39867285, -74.3888741545414)"
Howell High School,Howell High School,"(40.1867565, -74.1773813)"
Patchogue-Medford High School,"181 Buffalo Ave Medford, NY 11763","(40.8077515625, -72.989751625)"
Midland Park Jr./Sr. High School,"250 Prospect St Midland Park, NJ 07432","(40.9998508571429, -74.1388784285714)"
Joseph A. Foran High School,Joseph A. Foran High School,"(41.2198874, -73.014735712179)"
West Hempstead High School,"400 Nassau Blvd West Hempstead, NY 11552","(40.694857, -73.660422)"
Newfield High School,"145 Marshall Dr Selden, NY 11784","(40.8706715384615, -73.0601179230769)"
Lindenhurst Senior High School,"300 Charles St Lindenhurst, NY 11757","(40.697131, -73.367566)"
South Plainfield High School,"200 Lake Street South Plainfield, NJ 07080","(40.58915685, -74.4124150969931)"
Roselle Park High School,"185 W Webster Ave Roselle Park, NJ 07204","(40.666431, -74.266299)"
Teaneck Senior High School,"100 Elizabeth Ave Teaneck, NJ 07666","(40.891684, -74.008315)"
High School for Health Professions & Human Services,"345 E 15th St New York, NY 10003","(40.732711, -73.9825978)"
Fort Hamilton High School,"8301 Shore Rd Brooklyn, NY 11209","(40.627236, -74.0397375)"
Park East High School,"230 E 105th St New York, NY 10029","(40.79018675, -73.9440122628272)"
Edward R. Murrow High School,Edward R. Murrow High School,"(40.6197588, -73.9589688576607)"
Newcomers High School,"28-01 41st Ave Long Island City, NY 11101","(40.7514099, -73.9368787)"
Applied Technology High School,"400 Paramus Road Paramus, NJ 07652","(40.953143, -74.094)"
Ocean Township High School,"550 West Park Avenue Oakhurst, NJ 07755","(40.2684487330087, -74.0299739770037)"
Academy for Software Engineering,"40 Irving Pl New York, NY 10003","(40.7355392, -73.9874498)"
Miller Place High School,"15 Memorial Dr Miller Place, NY 11764","(40.9343048, -72.9901066)"
Jackson Memorial High School,"101 Don Connor Blvd Jackson, NJ 08527","(40.108025, -74.348379)"
University Neighborhood High School,"200 Monroe St New York, NY 10002","(40.71225365, -73.9839751348175)"
NYC Museum School,"333 W 17th St New York, NY 10011","(40.7424139, -74.0025156)"
Energy Tech High School,"36-41 28th St Long Island City, NY 11106","(40.7566166, -73.9326949053319)"
Center Moriches High School,"311 Frowein Rd Center Moriches, NY 11934","(40.8042362464511, -72.8064523707088)"
Elmont Memorial High School,"555 Ridge Rd Elmont, NY 11003","(40.697542, -73.718822)"
Bronx Lighthouse Charter School,"1001 Intervale Ave Bronx, NY 10459","(40.8232106, -73.8973909326597)"
Westhill High School,"125 Roxbury Rd Stamford, CT 06902","(41.09184365, -73.5668416343834)"
Colonia High School,Colonia High School,"(40.5919224, -74.3208855477536)"
Brien McMahon High School,"300 Highland Avenue Norwalk, CT 06854","(41.0859435, -73.4353192)"
Shore Regional High School,Shore Regional High School,"(40.2953597, -74.0226275)"
Pequannock Township High School,"85 Sunset Road Pompton Plains, NJ 07444","(40.95996135, -74.3061183673147)"
Henry P. Becton Regional High School,"120 Paterson Ave E Rutherford, NJ 07073","(40.8326377857143, -74.0933368571428)"
Weehawken High School,"53 Liberty Place Weehawken, NJ 07086","(40.7742525412079, -74.0179518144744)"
Institute for Collaborative Education,"345 E 15th St New York, NY 10003","(40.732711, -73.9825978)"
High School for Community Leadership,"167-01 Gothic, NY 11432","(40.71421795, -73.7979245161693)"
Toms River High School East,"1225 Raider Way Toms River, NJ 08753","(39.967881, -74.141699)"
Seaford Senior High School,"1575 Seamans Neck Rd Seaford, NY 11783","(40.6827779795918, -73.4946395306122)"
Pearl River High School,"275 E Central Ave Pearl River, NY 10965","(41.060208, -74.009718)"
James Madison High School,"3787 Bedford Ave Brooklyn, NY 11229","(40.6102333, -73.9477279263106)"
Rocky Point High School,"82 Rocky Pt-Yaphank Rd Rocky Point, NY 11778","(40.9399556503871, -72.9404722346652)"
Palisades Park Junior/Senior High School,Palisades Park Junior/Senior High School,"(40.8383804, -73.9931989)"
Jonathan Law High School,"20 Lansdale Ave Milford, CT 06460","(41.2037466620833, -73.0874983369557)"
Bedford Academy High School,"1119 Bedford Ave Brooklyn, NY 11217","(40.68552125, -73.9540187062838)"
Frank McCourt High School,"145 W 84th St New York, NY 10024","(40.7857432, -73.9742029)"
Hackensack High School,Hackensack High School,"(40.8856549, -74.0526406)"
Lakeland Regional High School,"205 Conklintown Road Wanaque, NJ 07465","(41.0603115, -74.281615)"
Talent Unlimited High School,"317 E 67th St New York, NY 10021","(40.7655687, -73.9595921)"
Emma Lazarus High School,"100 Hester St New York, NY 10002","(40.716184, -73.9935208255638)"
Middlesex High School,"300 John F. Kennedy Drive Middlesex, NJ 08846","(40.582092, -74.495348)"
William Floyd High School,"240 Mastic Beach Rd Mastic Beach, NY 11951","(40.7785597559055, -72.8478898976378)"
Franklin High School,"500 Elizabeth Avenue Somerset, NJ 08873","(40.5200796, -74.5511326399694)"
The Renaissance Charter School,"35-59 81st St Jackson Heights, NY 11372","(40.7499509, -73.8851651)"
Metropolitan Expeditionary Learning School,"91-30 Metropolitan Ave Rego Park, NY 11374","(40.7085334, -73.8558047)"
Port Chester Senior High School,"1 Tamarack Rd, NY 10573","(41.012964, -73.679263)"
Collegiate Institute for Math & Science,"925 Astor Ave Bronx, NY 10469","(40.8598996, -73.8603222)"
School of the Future High School,"127 E 22nd St New York, NY 10010","(40.7390224, -73.9853705)"
Walter G. O'Connell Copiague High School,"1100 Dixon Ave Copiague, NY 11726","(40.6842547, -73.4054863)"
Sewanhaka High School,"500 Tulip Ave Floral Park, NY 11001","(40.71762485, -73.6900604064219)"
Bard Early College High School,"321 Bergen Street Newark, NJ 07103","(40.734167, -74.195168)"
Cedar Grove High School,"90 Rugby Rd Cedar Grove, NJ 07009","(40.8515575833333, -74.2255578333333)"
Bloomfield High School,"160 Broad Street Bloomfield, NJ 07003","(40.799702, -74.19698)"
Success Academy Harlem 1,"34 118th New York, NY 10026","(40.803013, -73.9482546)"
Marble Hill High School of International Studies,"99 Terrace View Ave, NY 10463","(40.877413, -73.9130612872972)"
High School for Arts & Business,"105-25 Horace Harding, NY 11368","(40.7375492, -73.8530016)"
New York Harbor School,New York Harbor School,"(40.6908344, -74.0204772)"
Liberty High School,"299 Sip Avenue Jersey City, NJ 07306","(40.732574, -74.073654)"
Ridgefield Park Junior/Senior High School,Ridgefield Park Junior/Senior High School,"(40.8582908, -74.0138796)"
University Prep Charter High School,"600 St Ann's Ave Bronx, NY 10455","(40.8148805, -73.9121778)"
North Babylon High School,"1 Phelps Ln North Babylon, NY 11703","(40.72611745, -73.3232222431759)"
New Dorp High School,"465 New Dorp Ln Staten Island, NY 10306","(40.5700167, -74.1069962)"
Medgar Evers College Preparatory School,"1186 Carroll St Brooklyn, NY 11225","(40.66693295, -73.9511848580102)"
Williamsburg Preparatory School,"257 N 6th St Brooklyn, NY 11211","(40.71553935, -73.9551420116931)"
Rachel Carson High School for Coastal Studies,"521 West Ave Brooklyn, NY 11224","(40.5821230081342, -73.9717112135227)"
Robert F. Kennedy Community High School,"75-40 Parsons Blvd Flushing, NY 11366","(40.7611915, -73.8218639)"
Young Womens Leadership School,"23-15 Newtown Ave, NY 11105","(40.7713666, -73.9243066914417)"
Harlem Village Academy Leadership Charter School,"2351 1st Ave-4th Fl New York, NY 10035","(None, None)"
The High School Of Fashion Industries,"225 W 24th St New York, NY 10011","(40.744765, -73.9951595)"
Butler High School,"38 Bartholdi Avenue Butler, NJ 07405","(40.997184, -74.34063)"
York Early College Academy,"108-35 167th St, NY 11433","(40.69703725, -73.7865626112125)"
Toms River High School North,"1245 Old Freehold Road Toms River, NJ 08753","(39.9820546938776, -74.1972268163265)"
Middletown High School North,"63 Tindall Road Middletown, NJ 07748","(40.4008446066774, -74.1004)"
Manhattan Bridges High School,"525 W 50th St New York, NY 10019","(40.7655507, -73.9935843)"
Monmouth Regional High School,Monmouth Regional High School,"(40.3049271, -74.0899399)"
High School of Economics & Finance,"100 Trinity Pl New York, NY 10006","(40.7092812, -74.012289996044)"
Pace High School,"100 Hester St New York, NY 10002","(40.716184, -73.9935208255638)"
Boonton High School,"306 Lathrop Avenue Boonton, NJ 07005","(40.902111, -74.4050875)"
Jamaica Gateway to the Sciences,"167-01 Gothic, NY 11432","(40.71421795, -73.7979245161693)"
High School for Environmental Studies,"444 W 56th St New York, NY 10019","(40.7679284, -73.9880971)"
Woodbridge High School,"25 Place Woodbridge, NJ 07095","(40.5583956, -74.2768369)"
Woodlands Senior High School,"475 W Hartsdale Ave Hartsdale, NY 10530","(41.023289, -73.801087)"
Robert H. Goddard High School of Communication Arts & Technology,"138-30 Lafayette St Ozone Park, NY 11417","(40.6708751, -73.8455849704655)"
Dwight Morrow High School/Academies at Englewood,"274 Knickerbocker Rd Englewood, NJ 07631","(40.912323, -73.98043)"
Robert F. Wagner Jr. Secondary School for Arts & Technology,"47-07 30th Pl, NY 11101","(40.7415356, -73.936918)"
Achievement First - Crown Heights School,"1485 Pacific St Brooklyn, NY 11213","(40.6773199426313, -73.9421514144285)"
KIPP STAR College Prep Charter School,KIPP STAR College Prep Charter School,"(40.8109219, -73.9566864)"
Young Women's Leadership School,"105 E 106th St New York, NY 10029","(40.79293755, -73.9471684)"
Nutley High School,"300 Franklin Ave Nutley, NJ 07110","(40.8174061, -74.1603537)"
Lenape Valley Regional High School,"28 Sparta Road Stanhope, NJ 07874","(40.92064225, -74.6986126143223)"
Veritas Academy,"35-01 Union St Flushing, NY 11354","(40.7586437, -73.8257291)"
New World High School,"921 E 228th St Bronx, NY 10466","(40.8882399, -73.8527657)"
Urban Assembly Gateway School for Technology,"439 W 49th St New York, NY 10019","(40.76367915, -73.9903461995945)"
Civic Leadership Academy,"45-10 94th St Elmhurst, NY 11373","(40.74336015, -73.8714978)"
Passaic Valley Regional High School,"170 East Main Street Little Falls, NJ 07424","(40.8820936734519, -74.231409919853)"
OCVTS - Performing Arts Academy,"Route 547 Lakehurst, NJ 08733","(40.014561, -74.3112574)"
Dr. Richard Izquierdo Health & Science Charter School,"800 Home, NY 10456","(40.8277475, -73.900672)"
Expeditionary Learning School for Community Leaders,"2630 Benson Ave Brooklyn, NY 11214","(40.59353805, -73.9862124695311)"
Alexander Hamilton High School,"98 S Goodwin Ave Elmsford, NY 10523","(41.04971385, -73.816331934618)"
Bayonne High School,Bayonne High School,"(40.6712501, -74.1226218539432)"
Sayreville War Memorial High School,"820 Washington Road Parlin, NJ 08859","(40.459613, -74.346245)"
"Science, Technology & Research High School at Erasmus","911 Flatbush Ave Brooklyn, NY 11226","(40.6495043, -73.9582574)"
Toms River High School South,"55 Hyers Street Toms River, NJ 08753","(39.9550895665103, -74.1968862767075)"
Gaynor McCown Expeditionary Learning School,"100 Essex Dr Staten Island, NY 10314","(40.5817018, -74.1592210864596)"
East Rockaway Junior/Senior High School,"443 Ocean Ave East Rockaway, NY 11518","(40.640604, -73.659687)"
H.S. 560 - City-As-School,"16 Clarkson St New York, NY 10014","(40.7293243, -74.0063104)"
Queens Gateway to Health Sciences Secondary School,"160-20 Goethals Ave, NY 11432","(40.7183946, -73.8059360482762)"
Curtis High School,"105 Hamilton Ave Staten Island, NY 10301","(40.6454497, -74.0818296570202)"
Brooklyn International High School at Waters Edge,"49 Flatbush Ave, NY 11201","(40.6889411, -73.9810499)"
Norwalk High School,"23 Calvin Murphy Street Norwalk, CT 06851","(None, None)"
Franklin D. Roosevelt High School,"5800 20th Ave Brooklyn, NY 11204","(40.62115015, -73.9815952379532)"
Union Square Academy for Health Sciences,"40 Irving Pl New York, NY 10003","(40.7355392, -73.9874498)"
Lyndhurst High School,"400 Weart Avenue Lyndhurst, NJ 07071","(40.808822, -74.128017)"
Art & Design High School,"231-249 E 56th St New York, NY 10019","(None, None)"
Achievement First - Endeavor School,"510 Waverly Ave Brooklyn, NY 11238","(40.68254505, -73.9659559175336)"
New Visions Charter High School for Advanced Math and Science 2,"900 Tinton Ave Bronx, NY 10456","(40.8217383, -73.9026560678839)"
East-West School of International Studies,"46-21 Colden St Flushing, NY 11355","(40.7498524, -73.8217513)"
Stamford High School,"55 Strawberry Hill Ave Stamford, CT 06902","(41.062112875, -73.5331339375)"
The Michael J. Petrides School,"715 Ocean Terr Staten Island, NY 10301","(40.60913615, -74.1045875956246)"
New Utrecht High School,"1601 80th St Brooklyn, NY 11214","(40.6132892, -74.0027187894831)"
Bellport Senior High School,"205 Beaver Dam Rd Brookhaven, NY 11719","(40.77677985, -72.9224136502475)"
John Dewey High School,John Dewey High School,"(40.587629, -73.9811665749944)"
Pelham Preparatory Academy,"925 Astor Ave Bronx, NY 10469","(40.8598996, -73.8603222)"
Urban Assembly School for Criminal Justice,"4200 16th Ave Brooklyn, NY 11204","(40.634787, -73.9822359)"
"Math, Engineering & Science Charter High School","231 Palmetto St Brooklyn, NY 11221","(40.69562085, -73.9154810668213)"
Dunellen High School,Dunellen High School,"(40.59214205, -74.4681442995146)"
Brick Township Memorial High School,"2001 Lanes Mill Rd Brick, NJ 08724","(40.1052219842981, -74.1292936595528)"
Bunnell High School,"1 Bulldog Blvd.Stratford, CT 06614","(41.225829, -73.13634)"
Coney Island Preparatory Public Charter School,"501 West Ave Brooklyn, NY 11224","(40.5824746, -73.9719087718712)"
Information Technology High School,"21-16 44th Rd Long Island City, NY 11101","(40.7486237, -73.9464429)"
The Urban Assembly School for Emergency Management,"411 Pearl St New York, NY 10038","(40.7114702, -74.0011694)"
Glen Cove High School,"150 Dosoris Ln Glen Cove, NY 11542","(40.88179965, -73.627262243205)"
East Orange STEM Academy,"129 Renshaw Avenue East Orange, NJ 07017","(40.7765463337695, -74.2018441199512)"
Hoboken Charter School,"713 Washington St Hoboken, NJ 07030","(40.7461588636364, -74.0281109090909)"
Eastport-South Manor Junior/Senior High School,"543 Moriches-Middle Island Rd, NY 11949","(40.8261383489515, -72.827905224108)"
Knowledge & Power Prep Academy International High School,"500 E Fordham Rd Bronx, NY 10458","(40.8598397, -73.8882951)"
High School for Public Service: Heroes of Tomorrow,"600 Kingston Ave Brooklyn, NY 11203","(40.6583284, -73.9436184901004)"
The Queens School of Inquiry,"158-40 76th Rd, NY 11366","(40.724521, -73.8085459)"
Urban Assembly School for Law & Justice,"283 Adams St Brooklyn, NY 11201","(40.69463915, -73.9883287933661)"
Academy for Law & Public Safety,"Butler High School, NJ 07405","(40.9981406, -74.3395162144689)"
Bronx Preparatory Charter School,"3872 3rd Ave Bronx, NY 10457","(40.8389659, -73.9000943105529)"
Lower East Side Preparatory High School,Lower East Side Preparatory High School,"(40.7201826, -73.9861015321289)"
The International High School at LaGuardia Community College,"45-35 Van Dam St, NY 11101","(40.7436016, -73.9335904)"
Hawthorne High School,"160 Parmelee Avenue Hawthorne, NJ 07506","(None, None)"
New Visions Charter High School - Advanced Math & Science,"99 Terrace View Ave, NY 10463","(40.877413, -73.9130612872972)"
Information Technology & Software Engineering at the Fairchild Wheeler Campus,"840 Old Town Road Bridgeport, CT 06606","(41.2258894, -73.1875680278833)"
Origins High School,"3000 Ave, NY 11235","(40.591932, -73.937199)"
A. Hamilton Preparatory Academy,"310 Cherry St Elizabeth, NJ 07208","(40.6679077216326, -74.2214910323993)"
Newark Technical School,"91 West Market Street Newark, NJ 07103","(40.739870173913, -74.1822459130435)"
Summit Academy Charter School,"27 Huntington St Brooklyn, NY 11231","(40.6778485, -74.0049789655789)"
Wood-Ridge Junior/Senior High School,"258 Hackensack St Wood Ridge, NJ 07075","(40.8485354545455, -74.0808453636364)"
Lodi High School,"99 Putnam Street Lodi, NJ 07644","(40.887718, -74.086806)"
Brooklyn Institute for Liberal Arts,"600 Kingston Ave Brooklyn, NY 11203","(40.6583284, -73.9436184901004)"
The Brooklyn School for Math and Research,"400 Irving Ave Brooklyn, NY 11237","(40.6970899, -73.9113818)"
Saddle Brook Middle/High School,"355 Mayhill Street Saddle Brook, NJ 07663","(40.8996701, -74.0888766)"
South River High School,"11 Montgomery Street South River, NJ 08882","(40.4396455, -74.3804371364769)"
Hillside Arts & Letters Academy,"167-01 Gothic Dr, NY 11432","(40.71421795, -73.7979245161693)"
Young Women's Leadership School of Queens,"150-91 87th Rd Jamaica, NY 11432","(40.7084336, -73.8041777460475)"
The New Visions Charter High School for the Humanities,"99 Terrace View Ave, NY 10463","(40.877413, -73.9130612872972)"
Jackson Liberty High School,"125 North Hope Chapel Road Jackson, NJ 08527","(40.09681, -74.259308)"
Business Technology Early College High School,"230-17 Hillside Ave Queens Village, NY 11427","(40.7336845, -73.7387225)"
Dover High School,"100 Grace Street Dover, NJ 07801","(40.8976285, -74.5597172689991)"
Kingsborough Early College School,"2630 Benson Ave Brooklyn, NY 11214","(40.59353805, -73.9862124695311)"
Brentwood High School,"2 6th Ave Brentwood, NY 11717","(40.772972, -73.251158)"
Bloomfield Technical School,"209 Franklin Street Bloomfield, NJ 07003","(40.78782873613, -74.1899295455577)"
Stratford High School,"245 King St, Stratford, CT 06615","(41.1961494527399, -73.1346379130108)"
Urban Academy Laboratory High School,"317 E 67th St New York, NY 10021","(40.7655687, -73.9595921)"
Raritan High School,"419 Middle Road Hazlet, NJ 07730","(40.42715565, -74.1507766104767)"
Ralph R. McKee Career & Technical High School,"290 St Marks Pl Staten Island, NY 10301","(40.642803, -74.0794981345747)"
Williamsburg High School for Architecture & Design,"257 N 6th St Brooklyn, NY 11211","(40.71553935, -73.9551420116931)"
A. Philip Randolph Campus High School,"433 W 135th St New York, NY 10031","(40.8182896666667, -73.9503983333333)"
Khalil Gibran International Academy,"362 Schermerhorn St Brooklyn, NY 11217","(40.6864422, -73.9796992)"
TEAM Academy Charter School,"60 Park Place Newark, NJ 07102","(40.7386539, -74.168797454309)"
Roosevelt High School Early College Studies,"631 Tuckahoe Rd Yonkers, NY 10710","(40.9537815831576, -73.8449075929764)"
Arthur L. Johnson High School,"365 Westfield Avenue Clark, NJ 07066","(40.62330575, -74.3118235)"
East Side Community School,"420 E 12th St New York, NY 10009","(40.7290878, -73.9825164483761)"
Clifton High School,"333 Colfax Avenue Clifton, NJ 07013","(40.8696671, -74.1633333)"
University Heights High School,"701 St Anns Ave Bronx, NY 10455","(40.8183204, -73.9111832)"
Freeport High School,"50 S Brookside Ave Freeport, NY 11520","(40.65425625, -73.6024710970521)"
Urban Assembly Maker Academy,"411 Pearl St New York, NY 10038","(40.7114702, -74.0011694)"
New Heights Academy Charter School,"1818 Amsterdam Ave New York, NY 10031","(40.828578, -73.9453882)"
Fordham High School for the Arts,"500 E Fordham Rd Bronx, NY 10458","(40.8598397, -73.8882951)"
Harlem Children's Zone Promise Academy Charter School,"245 W 129th St New York, NY 10027","(40.8125657, -73.9482809549392)"
Middlesex County Vocational School - Piscataway Campus School of Career Development,"21 Suttons Lane Piscataway, NJ 08854","(40.5255079234482, -74.4301372800566)"
Harvest Collegiate High School,"34 W 14th St New York, NY 10011","(40.7366674, -73.9955979)"
Benjamin Banneker Academy,"71-77 Clinton Ave Brooklyn, NY 11238","(40.6953448, -73.9691428)"
International High School at Union Square,"40 Irving Pl New York, NY 10003","(40.7355392, -73.9874498)"
Hillcrest High School,"160-05 Highland Ave Jamaica, NY 11432","(40.7082626, -73.8027761)"
Manhattan International High School,"317 E 67th St New York, NY 10021","(40.7655687, -73.9595921)"
M.S./H.S. 141 - Riverdale/Kingsbridge Academy,"660 W 237th St Bronx, NY 10463","(40.8877842, -73.9135870366298)"
Manhattan Comprehensive Night & Day High School,"240 2nd Ave New York, NY 10003","(40.7327263, -73.9842849231346)"
Manville High School,"1100 Brooks Boulevard Manville, NJ 08835","(40.5448089, -74.5977267040491)"
Middlesex County Vocational & Technical School (MCVTS) - East Brunswick,"112 Rues Lane East Brunswick, NJ 08816","(40.4199694210526, -74.3862217368421)"
Union Senior High School,"2350 North Third Street Union, NJ 07083","(None, None)"
Belmont Preparatory High School,"500 E Fordham Rd Bronx, NY 10458","(40.8598397, -73.8882951)"
The Celia Cruz Bronx High School Of Music,"2780 Reservoir Ave Bronx, NY 10468","(40.8701955, -73.8964685)"
North 13th Street Technical School,"300 N 13th St Newark, NJ 07107","(40.765695, -74.190927)"
Flushing International High School,"144-80 Barclay Ave Flushing, NY 11355","(40.7582763, -73.8270315)"
Carteret High School,"199 Washington Avenue Carteret, NJ 07008","(40.58047675, -74.2275719278243)"
Port Richmond High School,"85 St Josephs Ave Staten Island, NY 10302","(40.6344466, -74.1420754)"
P.S. 47 The American Sign Language & English Secondary School,"223 E 23rd St New York, NY 10010","(40.7383725, -73.9816282)"
School of Health Science,"5-7 Colt St Paterson, NJ 07505","(40.9171751003672, -74.1716492043883)"
Queens Technical High School,"37-02 47th Ave Long Island City, NY 11101","(40.7454904, -73.9531773)"
Wallington Junior/Senior High School,"234 Main Ave Wallington, NJ 07057","(40.8554187727437, -74.1078027455595)"
William Cullen Bryant High School,"48-10 31st Ave, NY 11103","(40.75715925, -73.9110861574576)"
West Caldwell Technical School,"620 Passaic Ave West Caldwell, NJ 07006","(40.852894, -74.293524)"
Achievement First - East New York School,"557 Pennsylvania Ave Brooklyn, NY 11207","(40.66392645, -73.8932781689959)"
Bronx Academy for Software Engineering (Base),"2474 Crotona Ave Bronx, NY 10458","(40.8552778, -73.8825)"
High School of Computers & Technology,"800 E Gun Hill Rd Bronx, NY 10467","(40.8755487, -73.8614234)"
Central Regional High School,"509 Forest Hills Parkway Bayville, NJ 08721","(39.892403, -74.211902)"
Long Branch High School,"404 Indiana Avenue Long Branch, NJ 07740","(40.2869948184879, -73.9908767313729)"
Manhattan Business Academy,"351 W 18th St New York, NY 10011","(40.74336655, -74.0027636652581)"
Hoboken Junior Senior High School,"800 Clinton St, Hoboken, NJ 07030","(40.746931, -74.032898)"
Brooklyn Preparatory High School,"257 N 6th St Brooklyn, NY 11211","(40.71553935, -73.9551420116931)"
Academy of Law & Public Safety,"255 West End Avenue Long Branch, NJ 07740","(40.2876251762243, -73.9930216103814)"
New Visions Charter High School for the Humanities II,"455 Southern Blvd Bronx, NY 10455","(40.8122526, -73.9031396)"
Middle College High School,"45-35 Van Dam St, NY 11101","(40.7436016, -73.9335904)"
Humanities Preparatory Academy,"351 W 18th St New York, NY 10011","(40.74336655, -74.0027636652581)"
Westbury High School,"1 Post Rd Old Westbury, NY 11568","(40.791053, -73.589811)"
Frances Perkins Academy,"50 Bedford Ave Brooklyn, NY 11222","(40.7222456, -73.9534005233044)"
Lower Manhattan Arts Academy,"350 Grand St New York, NY 10002","(40.7173439, -73.9893919)"
Arts High School,Arts High School,"(40.73424545, -74.1800760322433)"
Discovery High School,"2780 Reservoir Ave Bronx, NY 10468","(40.8701955, -73.8964685)"
Cypress Hills Collegiate Preparatory School,"999 Jamaica Ave Brooklyn, NY 11208","(40.6930081, -73.8690752582902)"
North Arlington High School,"222 Ridge Road North Arlington, NJ 07031","(40.7892161666667, -74.1329143333333)"
The Cinema School,"1551 E 172nd St Bronx, NY 10472","(40.8316075, -73.8781016)"
Bronx High School of Business,"240 E 172nd St Bronx, NY 10457","(40.83944, -73.9117451)"
Neptune High School,"55 Neptune Boulevard Neptune, NJ 07753","(40.21199095, -74.0366683183402)"
Bogota Junior/Senior High School,"2 Henry C Luthin Place Bogota, NJ 07603","(40.8781373, -74.0246896)"
Queens High School of Teaching,"74-20 Commonwealth Blvd Bellerose, NY 11426","(40.72576275, -73.718058)"
City Polytechnic High School,"105 Tech Pl Brooklyn, NY 11201","(40.69544665, -73.9856024936999)"
Manchester Township High School,"101 S Colonial Dr Manchester, NJ 08759","(40.0034868994307, -74.3036480682461)"
South Amboy Middle/High School,South Amboy Middle/High School,"(40.48099755, -74.2747722003363)"
Cliffside Park High School,"538 Palisade Avenue Cliffside Park, NJ 07010","(40.8218546041016, -73.9874466788762)"
Cicely L. Tyson Community School of Performing & Fine Arts - Secondary School,"35 Winans Street East Orange, NJ 07017","(40.7635127, -74.210541)"
Bronx Health Sciences High School,"750 Baychester Ave Bronx, NY 10475","(40.87410125, -73.8322404815423)"
Academy of Innovative Technology High School,"999 Jamaica Ave Brooklyn, NY 11208","(40.6930081, -73.8690752582902)"
New Design High School,"350 Grand St New York, NY 10002","(40.7173439, -73.9893919)"
North Plainfield High School,"34 Wilson Ave N Plainfield, NJ 07060","(40.62415365, -74.4412566613374)"
