school_name,school_address,latitude
Greenwich High School,"10 Hillside Rd Greenwich, CT 06830","(41.04018275, -73.6133130328867)"
Briarcliff High School,"444 Pleasantville Rd Briarcliff Manor, NY 10510","(41.1353433067835, -73.8094766074951)"
Harborfields High School,"98 Taylor Ave Greenlawn, NY 11740","(40.86798825, -73.3585671541575)"
Ardsley High School,"300 Farm Rd Ardsley, NY 10502","(41.0202468537471, -73.834209463403)"
Northern Valley Regional High School Demarest,"150 Knickerbocker Rd Demarest, NJ 07627","(40.9621052, -73.9746211)"
Westfield Senior High School,"550 Dorian Rd Westfield, NJ 07090","(40.64447605, -74.3487646102058)"
High Tech High School,"2000 85th Street N Bergen, NJ 07047","(40.809705, -74.014184)"
George W. Hewlett High School,"60 Everit Ave Hewlett, NY 11557","(40.641416, -73.700924)"
Garden City High School,"170 Rockaway Ave Garden City, NY 11530","(40.7304304115001, -73.650228161684)"
Northern Valley Regional High School - Old Tappan,"Central Ave Old Tappan, NJ 07675","(41.010075, -73.975073)"
The Beacon School,"522 W 44th Street New York, NY 10036","(40.7573055, -73.9859301)"
Tappan Zee High School,"15 Dutch Hill Rd Orangeburg, NY 10962","(41.04935125, -73.9551085)"
The Brooklyn Latin School,"223 Graham Ave Brooklyn, NY 11206","(40.7098149, -73.943911)"
Montclair High School,"100 Chestnut St Montclair, NJ 07042","(40.82316305, -74.2131657036377)"
Wilton High School,"395 Danbury Rd Wilton, CT 06897","(41.1900727, -73.4268812)"
Morris County School of Technology,"400 East Main Street Denville, NJ 07834","(40.87952, -74.479724)"
Hastings High School,"1 Mt Hope Blvd Hastings On Hudson, NY 10706","(40.992834, -73.874494)"
Fox Lane High School,"S Bedford Rd Bedford, NY 10506","(41.1941871, -73.6748116)"
Harrison High School,"255 Union Ave Harrison, NY 10528","(40.9814819, -73.7374426336433)"
West Morris Mendham High School,"65 East Main Street Mendham, NJ 07945","(40.7957651308492, -74.5587764197269)"
Ward Melville Senior High School,"380 Old Town Rd East Setauket, NY 11733","(40.9389501, -73.1029855)"
Rye Neck Senior High School,"300 Hornidge Rd Mamaroneck, NY 10543","(40.956864, -73.715639)"
Academy for Performing Arts,"1776 Raritan Road Scotch Plains, NJ 07076","(40.6181661, -74.3568340380298)"
Bernards High School,"25 Olcott Avenue Bernardsville, NJ 07924","(40.7206583, -74.5654946832302)"
Fairfield Warde High School,"755 Melville Ave Fairfield, CT 06825","(41.1798611, -73.2235701)"
Middlesex County Academy for Allied Health & Biomedical Sciences,"1 Convery Boulevard Woodbridge, NJ 07095","(40.5443455, -74.2769786)"
Fiorello H. Laguardia High School Of Music & Art & Performing Arts,"100 Amsterdam Ave New York, NY 10023","(40.77418495, -73.9859720946164)"
North Shore Senior High School,"450 Glen Cove Ave Glen Head, NY 11545","(40.8386414990059, -73.6335629507495)"
Walt Whitman High School,"301 W Hills Rd Huntington Station, NY 11746","(40.8270431, -73.4259545)"
Pleasantville High School,"60 Romer Ave Pleasantville, NY 10570","(41.13250295, -73.7854453746052)"
